fold,num_of_balancing,dropout_rate,batch_size,learning_rate,optimizer,num_conv_blocks,conv2d_filters,Epoch,Balanced Accuracy,Precision,Recall,F1 Score
1,375,0.2251496215391784,8,2.748540747076889e-05,adam,5,"[64, 112, 176, 208, 208, 496]",38,0.8712,0.8439,0.8712,0.8558
2,375,0.2251496215391784,8,2.748540747076889e-05,adam,5,"[64, 112, 176, 208, 208, 496]",27,0.8984,0.9,0.8984,0.895
3,375,0.2251496215391784,8,2.748540747076889e-05,adam,5,"[64, 112, 176, 208, 208, 496]",31,0.8842,0.859,0.8842,0.8699
4,375,0.2251496215391784,8,2.748540747076889e-05,adam,5,"[64, 112, 176, 208, 208, 496]",38,0.9383,0.9479,0.9383,0.9426
1,250,0.238016296900337,16,0.0007062700618815,rmsprop,4,"[48, 128, 160, 192, 320, 416]",39,0.9047,0.8763,0.9047,0.8886
2,250,0.238016296900337,16,0.0007062700618815,rmsprop,4,"[48, 128, 160, 192, 320, 416]",45,0.9145,0.8883,0.9145,0.8964
3,250,0.238016296900337,16,0.0007062700618815,rmsprop,4,"[48, 128, 160, 192, 320, 416]",51,0.9157,0.9134,0.9157,0.9135
4,250,0.238016296900337,16,0.0007062700618815,rmsprop,4,"[48, 128, 160, 192, 320, 416]",36,0.9477,0.9396,0.9477,0.9434
1,250,0.4419513181052565,32,0.000164270179324,adam,5,"[48, 80, 176, 240, 464, 496]",45,0.8653,0.8345,0.8653,0.8474
2,250,0.4419513181052565,32,0.000164270179324,adam,5,"[48, 80, 176, 240, 464, 496]",40,0.8572,0.8455,0.8573,0.8505
3,250,0.4419513181052565,32,0.000164270179324,adam,5,"[48, 80, 176, 240, 464, 496]",56,0.8771,0.8624,0.8771,0.869
4,250,0.4419513181052565,32,0.000164270179324,adam,5,"[48, 80, 176, 240, 464, 496]",54,0.957,0.9342,0.957,0.9443
1,350,0.3789073945408736,16,0.0001772442858795,rmsprop,4,"[64, 64, 224, 224, 288, 448]",31,0.9163,0.8779,0.9162,0.8897
2,350,0.3789073945408736,16,0.0001772442858795,rmsprop,4,"[64, 64, 224, 224, 288, 448]",25,0.9033,0.8834,0.9033,0.8903
3,350,0.3789073945408736,16,0.0001772442858795,rmsprop,4,"[64, 64, 224, 224, 288, 448]",28,0.8903,0.8926,0.8904,0.8909
4,350,0.3789073945408736,16,0.0001772442858795,rmsprop,4,"[64, 64, 224, 224, 288, 448]",19,0.9041,0.9337,0.904,0.9136
1,250,0.332329952510366,16,0.0003802008278879,rmsprop,5,"[48, 128, 128, 128, 256, 320]",38,0.9385,0.9228,0.9385,0.93
2,250,0.332329952510366,16,0.0003802008278879,rmsprop,5,"[48, 128, 128, 128, 256, 320]",36,0.9219,0.9001,0.9219,0.9071
3,250,0.332329952510366,16,0.0003802008278879,rmsprop,5,"[48, 128, 128, 128, 256, 320]",40,0.9176,0.8965,0.9176,0.9061
4,250,0.332329952510366,16,0.0003802008278879,rmsprop,5,"[48, 128, 128, 128, 256, 320]",34,0.9515,0.936,0.9515,0.9431
1,350,0.3355178574239561,8,0.0001656421567973,rmsprop,3,"[48, 80, 80, 208, 400, 464]",29,0.8587,0.8422,0.8587,0.8495
2,350,0.3355178574239561,8,0.0001656421567973,rmsprop,3,"[48, 80, 80, 208, 400, 464]",28,0.8459,0.804,0.8459,0.8183
3,350,0.3355178574239561,8,0.0001656421567973,rmsprop,3,"[48, 80, 80, 208, 400, 464]",18,0.8171,0.803,0.8171,0.8068
