num_of_balancing,dropout_rate,batch_size,learning_rate,optimizer,num_conv_blocks,conv2d_filters,Balanced Accuracy,Precision,Recall,F1 Score,trial
375,0.2251496215391784,8,2.748540747076889e-05,adam,5,"[64, 112, 176, 208, 208, 496]",0.898,0.8877,0.898,0.8908,1.0
250,0.238016296900337,16,0.0007062700618815,rmsprop,4,"[48, 128, 160, 192, 320, 416]",0.9206,0.9044,0.9206,0.9105,2.0
250,0.4419513181052565,32,0.000164270179324,adam,5,"[48, 80, 176, 240, 464, 496]",0.8892,0.8692,0.8892,0.8778,3.0
350,0.3789073945408736,16,0.0001772442858795,rmsprop,4,"[64, 64, 224, 224, 288, 448]",0.9035,0.8969,0.9035,0.8961,4.0
250,0.332329952510366,16,0.0003802008278879,rmsprop,5,"[48, 128, 128, 128, 256, 320]",0.9324,0.9138,0.9324,0.9216,5.0
350,0.3355178574239561,8,0.0001656421567973,rmsprop,3,"[48, 80, 80, 208, 400, 464]",0.8478,0.8295,0.8478,0.8349,6.0
425,0.367005166911811,32,2.9341418526583283e-05,adam,3,"[32, 80, 240, 240, 368, 368]",0.8118,0.8232,0.8118,0.8106,7.0
450,0.4633114592759564,32,0.0001780812774352,rmsprop,4,"[16, 80, 144, 176, 208, 208]",0.8992,0.8839,0.8992,0.8895,8.0
300,0.3647348208433448,32,3.898699708128551e-05,adam,4,"[32, 32, 96, 224, 224, 224]",0.8112,0.7948,0.8112,0.7978,9.0
500,0.306416734811846,8,0.0005917716216919,rmsprop,5,"[16, 128, 160, 256, 288, 320]",0.9393,0.9427,0.9393,0.94,10.0
425,0.3980917227414378,16,0.0003265709227127,rmsprop,5,"[48, 128, 224, 256, 512, 512]",0.9407,0.9424,0.9407,0.94,11.0
250,0.2755945102545122,16,0.0001778139443309,adam,3,"[64, 80, 240, 240, 368, 432]",0.846,0.8408,0.846,0.837,12.0
250,0.4798912102303196,8,0.0005629499445523,rmsprop,6,"[32, 48, 144, 240, 240, 496]",0.9355,0.9374,0.9355,0.9354,13.0
450,0.4389425470344802,16,0.0005804401428767,adam,4,"[32, 32, 224, 256, 352, 416]",0.8077,0.7976,0.8077,0.8002,14.0
425,0.388073679397876,16,0.0002232347023507,rmsprop,4,"[48, 112, 112, 176, 240, 336]",0.9194,0.9223,0.9194,0.9191,15.0
250,0.3149456866475336,8,1.563688560619611e-05,rmsprop,6,"[64, 96, 224, 224, 384, 416]",0.895,0.8708,0.895,0.8796,16.0
425,0.2877014170885844,16,2.0477517485818693e-05,rmsprop,4,"[16, 32, 224, 256, 288, 448]",0.865,0.8798,0.865,0.8684,17.0
250,0.4386096162208374,32,3.9039771990709385e-05,rmsprop,5,"[16, 32, 64, 160, 352, 448]",0.7885,0.7653,0.7885,0.7686,18.0
500,0.2833265994043211,32,1.875441450438416e-05,rmsprop,5,"[32, 128, 160, 224, 384, 512]",0.8846,0.8896,0.8846,0.8834,19.0
250,0.2096187982506599,16,0.0001320860146001,adam,6,"[64, 64, 224, 256, 352, 448]",0.9298,0.9212,0.9298,0.9237,20.0
250,0.4380157033260363,16,7.507401946268487e-05,rmsprop,6,"[32, 96, 128, 192, 352, 512]",0.9242,0.912,0.9242,0.9163,21.0
350,0.2388848639347272,32,1.395498849828368e-05,adam,5,"[48, 128, 192, 224, 384, 480]",0.8788,0.8753,0.8788,0.8749,22.0
450,0.3455569054322316,16,0.0001066751423661,rmsprop,6,"[64, 112, 208, 240, 400, 400]",0.946,0.9412,0.946,0.9432,23.0
350,0.4749825108830813,8,2.2266431733585626e-05,adam,3,"[32, 32, 256, 256, 288, 288]",0.8171,0.8195,0.8171,0.8132,24.0
350,0.3035408922501906,16,0.0005350568218892,rmsprop,5,"[16, 48, 144, 240, 432, 496]",0.92,0.93,0.92,0.9236,25.0
375,0.4258899709275246,8,0.000214936736566,adam,4,"[32, 128, 224, 224, 224, 224]",0.9077,0.902,0.9077,0.9036,26.0
325,0.2860868388868909,16,2.2204671345507014e-05,rmsprop,6,"[48, 96, 128, 160, 320, 448]",0.904,0.8828,0.904,0.8904,27.0
375,0.4220272179926121,8,1.0583686899785765e-05,adam,4,"[48, 48, 240, 240, 240, 336]",0.8698,0.8746,0.8698,0.869,28.0
275,0.3590503449666223,8,0.0003093109043028,adam,6,"[16, 80, 240, 240, 368, 368]",0.8884,0.8769,0.8884,0.8808,29.0
300,0.225397664195406,8,2.01898830068226e-05,adam,5,"[32, 32, 96, 224, 448, 448]",0.8918,0.8801,0.8918,0.884,30.0
325,0.218846637322235,8,0.0005124680005834,rmsprop,5,"[64, 80, 240, 240, 432, 496]",0.8739,0.8582,0.8739,0.8518,31.0
250,0.4017577895483415,8,5.752015695596988e-05,rmsprop,4,"[64, 80, 144, 144, 432, 464]",0.8848,0.8678,0.8847,0.8731,32.0
250,0.2699098581523874,16,0.0001238216661377,rmsprop,6,"[16, 96, 160, 160, 192, 224]",0.9353,0.9217,0.9353,0.9265,33.0
475,0.3619587495413832,8,0.0003736251986367,adam,3,"[48, 112, 144, 208, 208, 240]",0.8908,0.8939,0.8908,0.8895,34.0
375,0.4030783894725399,32,0.0001623494305901,adam,6,"[48, 48, 208, 240, 432, 432]",0.9194,0.922,0.9194,0.9194,35.0
350,0.2449801468895839,16,0.0001348970598953,rmsprop,4,"[32, 96, 192, 256, 480, 480]",0.9073,0.912,0.9073,0.9076,36.0
350,0.4707267866668332,8,1.6622255850276947e-05,rmsprop,4,"[16, 96, 128, 192, 192, 352]",0.8576,0.8525,0.8576,0.8502,37.0
450,0.2680590876330077,16,0.0007718224858405,rmsprop,5,"[64, 128, 224, 256, 256, 512]",0.9602,0.96,0.9601,0.9596,38.0
500,0.3029099309396998,8,0.0005820253246293,rmsprop,6,"[48, 112, 240, 240, 432, 432]",0.9576,0.9639,0.9576,0.9602,39.0
350,0.2009514970732581,16,5.586609677214635e-05,rmsprop,6,"[64, 128, 256, 256, 416, 416]",0.9508,0.9436,0.9508,0.9465,40.0
325,0.3053169506510688,16,0.000202641265504,rmsprop,3,"[16, 16, 176, 176, 368, 464]",0.8339,0.8515,0.8339,0.8387,41.0
275,0.4172296312835294,32,0.0003067214926361,rmsprop,4,"[16, 128, 224, 224, 224, 320]",0.8876,0.8918,0.8876,0.8867,42.0
450,0.4452277308408225,32,1.401315009910741e-05,adam,3,"[32, 96, 256, 256, 256, 256]",0.8094,0.8149,0.8094,0.8084,43.0
450,0.4376363619403288,8,8.348926769267015e-05,rmsprop,3,"[48, 112, 176, 208, 208, 208]",0.8729,0.8741,0.8729,0.872,44.0
325,0.482482557867576,8,0.0004351143273119,rmsprop,5,"[48, 96, 160, 192, 320, 512]",0.9459,0.941,0.9459,0.9423,45.0
400,0.2867306710052174,16,0.0004873883691612,rmsprop,6,"[48, 96, 160, 192, 384, 512]",0.9446,0.9433,0.9446,0.9433,46.0
250,0.2106727953816496,8,7.845771933593588e-05,rmsprop,4,"[64, 96, 192, 192, 256, 320]",0.8818,0.8636,0.8818,0.8697,47.0
500,0.3316622070043765,8,8.995545138853484e-05,rmsprop,5,"[48, 112, 112, 112, 240, 272]",0.9436,0.9408,0.9436,0.9414,48.0
350,0.2803344088509555,8,0.0002322918599882,rmsprop,3,"[64, 112, 144, 208, 336, 400]",0.8665,0.8592,0.8665,0.861,49.0
425,0.2946703959149426,32,0.0002585863386527,adam,6,"[32, 80, 240, 240, 464, 464]",0.9069,0.9126,0.9069,0.9085,50.0
475,0.37305065481172,8,4.0514664189730334e-05,adam,3,"[48, 64, 128, 192, 480, 512]",0.8485,0.8598,0.8485,0.8512,51.0
275,0.334940422145168,16,5.979783219629333e-05,rmsprop,5,"[16, 96, 96, 192, 416, 448]",0.9143,0.9045,0.9143,0.908,52.0
450,0.3592710267424585,16,1.8489888156072188e-05,rmsprop,5,"[16, 112, 144, 208, 336, 464]",0.9108,0.9129,0.9108,0.9101,53.0
375,0.2344518222678703,32,2.280944075385417e-05,rmsprop,3,"[64, 96, 224, 224, 256, 448]",0.8406,0.824,0.8406,0.8295,54.0
400,0.3152300620277681,16,0.0001134818989537,adam,3,"[16, 32, 64, 160, 320, 416]",0.8268,0.8256,0.8268,0.8237,55.0
325,0.2891508883453748,32,0.0007506888556262,adam,4,"[64, 96, 160, 224, 352, 384]",0.8228,0.8128,0.8228,0.8148,56.0
475,0.2817257919066546,8,0.0002279582902228,adam,6,"[16, 32, 192, 192, 224, 448]",0.9347,0.9306,0.9347,0.9322,57.0
275,0.3022390702263972,8,0.0003397205329856,rmsprop,6,"[16, 48, 176, 240, 464, 464]",0.9328,0.9298,0.9328,0.9306,58.0
375,0.4447842406930743,32,5.755210248933142e-05,adam,6,"[32, 80, 208, 208, 208, 208]",0.9071,0.9083,0.9071,0.9072,59.0
475,0.2405063763168033,16,0.00062833174264,adam,3,"[48, 48, 80, 112, 304, 368]",0.8754,0.8684,0.8754,0.8708,60.0
400,0.2400101219857332,32,1.0173452911686954e-05,rmsprop,5,"[16, 16, 112, 144, 240, 336]",0.7148,0.6799,0.7148,0.6779,61.0
325,0.3868943413006155,8,0.0001371704429765,adam,6,"[64, 96, 256, 256, 448, 512]",0.9479,0.94,0.9479,0.9429,62.0
275,0.2048115923300502,32,0.0002387566403426,rmsprop,3,"[16, 80, 144, 144, 272, 464]",0.8376,0.8296,0.8376,0.8273,63.0
400,0.4932248706789557,32,0.0001205883638732,rmsprop,4,"[64, 80, 80, 176, 432, 496]",0.9153,0.9217,0.9152,0.9163,64.0
250,0.4148331221229076,16,0.0002426188356345,adam,3,"[48, 64, 96, 192, 480, 512]",0.8349,0.827,0.8349,0.8254,65.0
500,0.4752486000744957,32,1.2922080532412252e-05,rmsprop,6,"[32, 96, 224, 224, 224, 256]",0.7785,0.7506,0.7785,0.7518,66.0
275,0.4995212960708096,32,0.0001398610926602,rmsprop,6,"[64, 112, 240, 240, 240, 240]",0.9367,0.9289,0.9367,0.9311,67.0
425,0.3262341079803447,16,3.995949377090058e-05,rmsprop,4,"[32, 80, 240, 240, 304, 464]",0.8959,0.8998,0.8959,0.8944,68.0
475,0.446836510082687,8,8.206492780879573e-05,adam,5,"[16, 80, 112, 176, 432, 496]",0.9543,0.9542,0.9544,0.9536,69.0
375,0.3363895810652842,16,0.0004266872646749,rmsprop,3,"[32, 96, 96, 128, 192, 384]",0.8647,0.8571,0.8646,0.8567,70.0
425,0.2787621684234013,32,3.2475921828023674e-05,adam,6,"[16, 32, 160, 224, 384, 448]",0.9313,0.9266,0.9313,0.9268,71.0
400,0.3772982339808762,8,0.0003527538995692,rmsprop,4,"[64, 64, 64, 192, 192, 288]",0.9327,0.9456,0.9328,0.9382,72.0
350,0.4486544864677917,32,4.36839278577948e-05,rmsprop,5,"[16, 16, 208, 240, 368, 496]",0.8864,0.8832,0.8864,0.8814,73.0
350,0.3783172165566463,8,0.0001048128120468,adam,6,"[48, 48, 176, 176, 176, 464]",0.9007,0.8917,0.9006,0.8954,74.0
450,0.2350988934254635,32,0.0001497050487749,adam,4,"[64, 64, 128, 128, 512, 512]",0.878,0.8882,0.878,0.8816,75.0
325,0.4428807228965506,16,0.0002926328407913,rmsprop,3,"[32, 80, 144, 240, 400, 432]",0.8526,0.8332,0.8525,0.8386,76.0
325,0.3599201508613195,16,4.643777593989025e-05,adam,5,"[64, 64, 192, 224, 384, 512]",0.8775,0.8666,0.8775,0.8705,77.0
350,0.2624796237470418,8,1.4040717166116169e-05,adam,4,"[16, 48, 208, 208, 208, 464]",0.792,0.8133,0.7919,0.7935,78.0
475,0.3982503355704287,16,4.909606474695534e-05,adam,4,"[32, 112, 112, 176, 336, 496]",0.8739,0.8725,0.874,0.8714,79.0
400,0.3108556187555007,16,6.822819205863061e-05,rmsprop,6,"[16, 64, 192, 192, 320, 416]",0.8808,0.8769,0.8808,0.8769,80.0
350,0.2525686666180637,16,1.1222843154789906e-05,rmsprop,3,"[32, 48, 80, 112, 240, 432]",0.7742,0.7828,0.7742,0.7656,81.0
375,0.2939045359044778,32,0.0001866410406593,adam,5,"[32, 112, 208, 240, 336, 368]",0.8634,0.8722,0.8633,0.8667,82.0
450,0.2436527858967741,8,2.757046273371769e-05,adam,5,"[64, 128, 224, 256, 512, 512]",0.9237,0.9217,0.9237,0.9216,83.0
250,0.405674894198815,32,0.000772408647669,rmsprop,4,"[64, 96, 224, 256, 352, 512]",0.8758,0.8743,0.8758,0.8722,84.0
475,0.2577910281261014,16,0.0002327463389706,adam,4,"[48, 128, 128, 128, 256, 288]",0.9158,0.9198,0.9158,0.9168,85.0
350,0.248534152665831,16,1.5662814444980245e-05,rmsprop,6,"[48, 96, 256, 256, 416, 480]",0.8652,0.8707,0.8652,0.866,86.0
400,0.4698358872936395,8,1.8443911009298736e-05,adam,3,"[48, 64, 256, 256, 256, 448]",0.8371,0.8529,0.8371,0.8387,87.0
300,0.2039102788618614,32,0.0002162949403307,adam,6,"[16, 64, 160, 224, 512, 512]",0.8971,0.8846,0.8971,0.8888,88.0
250,0.2556817738581848,8,0.0005022153460409,rmsprop,6,"[32, 32, 192, 224, 320, 480]",0.9266,0.9172,0.9266,0.9204,89.0
400,0.2174186140235038,8,0.0005717120781651,rmsprop,4,"[32, 96, 224, 224, 384, 512]",0.9207,0.9221,0.9207,0.9204,90.0
425,0.3346631080081161,32,1.0038429945198075e-05,adam,3,"[16, 112, 240, 240, 464, 496]",0.76,0.7737,0.76,0.7559,91.0
275,0.3260128029919678,8,3.439809422996047e-05,adam,5,"[64, 96, 256, 256, 320, 448]",0.9094,0.8989,0.9094,0.9026,92.0
500,0.4178215658946088,16,0.0004476545411722,adam,4,"[64, 112, 240, 240, 336, 368]",0.9231,0.9136,0.9232,0.9172,93.0
400,0.4743828220870698,32,4.55564918861583e-05,rmsprop,6,"[48, 96, 96, 96, 256, 352]",0.8877,0.886,0.8878,0.8852,94.0
325,0.3962730801151159,32,0.0001065700652729,adam,3,"[32, 64, 128, 224, 416, 512]",0.8242,0.8115,0.8242,0.8126,95.0
500,0.428617501730154,16,0.0003490759393051,rmsprop,6,"[48, 80, 144, 208, 464, 464]",0.9525,0.9551,0.9525,0.9532,96.0
500,0.4107515906788274,32,0.0004081973850847,rmsprop,5,"[64, 96, 192, 256, 256, 320]",0.9504,0.9566,0.9504,0.953,97.0
450,0.3844369006940128,8,2.9403355771587157e-05,rmsprop,4,"[32, 96, 224, 224, 480, 512]",0.896,0.8997,0.896,0.8962,98.0
500,0.290857831357237,32,0.0001798264204948,adam,3,"[32, 80, 112, 208, 208, 304]",0.8392,0.8264,0.8392,0.8312,99.0
475,0.476344957355117,8,1.8916332833196645e-05,adam,4,"[32, 64, 192, 224, 224, 512]",0.8933,0.9014,0.8933,0.8944,100.0
