fold,C,kernel,gamma,degree,orientation,pixels_per_cell,cell_per_block,num_of_balancing,Balanced Accuracy,Precision,Recall,F1 Score
1,0.0554940809321264,polynomial,0.0004453369467623812,3,6,"(16, 16)","(3, 3)",350,0.3314,0.193,0.3314,0.2338
2,0.0554940809321264,polynomial,0.0004453369467623812,3,6,"(16, 16)","(3, 3)",350,0.3406,0.2097,0.3406,0.2596
3,0.0554940809321264,polynomial,0.0004453369467623812,3,6,"(16, 16)","(3, 3)",350,0.2811,0.1702,0.2812,0.2116
4,0.0554940809321264,polynomial,0.0004453369467623812,3,6,"(16, 16)","(3, 3)",350,0.2846,0.1669,0.2846,0.208
1,1.0918805810967878,rbf,9.258887750680873e-05,,9,"(16, 16)","(2, 2)",250,0.2725,0.2531,0.2725,0.1242
2,1.0918805810967878,rbf,9.258887750680873e-05,,9,"(16, 16)","(2, 2)",250,0.2864,0.1874,0.2864,0.1764
3,1.0918805810967878,rbf,9.258887750680873e-05,,9,"(16, 16)","(2, 2)",250,0.233,0.1158,0.233,0.113
4,1.0918805810967878,rbf,9.258887750680873e-05,,9,"(16, 16)","(2, 2)",250,0.2519,0.2584,0.2519,0.1474
1,650.6658015875612,rbf,0.010107143587817046,,8,"(12, 12)","(3, 3)",350,0.6308,0.666,0.6308,0.6374
2,650.6658015875612,rbf,0.010107143587817046,,8,"(12, 12)","(3, 3)",350,0.6654,0.6624,0.6654,0.6636
3,650.6658015875612,rbf,0.010107143587817046,,8,"(12, 12)","(3, 3)",350,0.5906,0.5968,0.5906,0.5926
4,650.6658015875612,rbf,0.010107143587817046,,8,"(12, 12)","(3, 3)",350,0.6215,0.6431,0.6215,0.6275
1,339.18380384939337,linear,auto,,7,"(24, 24)","(3, 3)",300,0.5453,0.5106,0.5452,0.5137
2,339.18380384939337,linear,auto,,7,"(24, 24)","(3, 3)",300,0.4953,0.4748,0.4953,0.4783
3,339.18380384939337,linear,auto,,7,"(24, 24)","(3, 3)",300,0.4905,0.4652,0.4905,0.4718
4,339.18380384939337,linear,auto,,7,"(24, 24)","(3, 3)",300,0.5163,0.4981,0.5163,0.4963
1,106.33917104874467,polynomial,0.004247864548619983,3,10,"(12, 12)","(2, 2)",350,0.6406,0.6554,0.6405,0.6457
2,106.33917104874467,polynomial,0.004247864548619983,3,10,"(12, 12)","(2, 2)",350,0.6438,0.6462,0.6438,0.6441
3,106.33917104874467,polynomial,0.004247864548619983,3,10,"(12, 12)","(2, 2)",350,0.5656,0.5849,0.5656,0.574
4,106.33917104874467,polynomial,0.004247864548619983,3,10,"(12, 12)","(2, 2)",350,0.5593,0.588,0.5592,0.5692
1,0.010360607563141784,rbf,0.01143381980048845,,6,"(16, 16)","(2, 2)",350,0.2672,0.2762,0.2672,0.1835
2,0.010360607563141784,rbf,0.01143381980048845,,6,"(16, 16)","(2, 2)",350,0.25,0.1074,0.25,0.1502
3,0.010360607563141784,rbf,0.01143381980048845,,6,"(16, 16)","(2, 2)",350,0.2598,0.1805,0.2598,0.1782
4,0.010360607563141784,rbf,0.01143381980048845,,6,"(16, 16)","(2, 2)",350,0.25,0.1074,0.25,0.1502
1,0.004987212215149595,linear,auto,,9,"(24, 24)","(2, 2)",250,0.404,0.3214,0.404,0.3283
2,0.004987212215149595,linear,auto,,9,"(24, 24)","(2, 2)",250,0.3598,0.2887,0.3598,0.3086
3,0.004987212215149595,linear,auto,,9,"(24, 24)","(2, 2)",250,0.3316,0.2568,0.3316,0.2887
4,0.004987212215149595,linear,auto,,9,"(24, 24)","(2, 2)",250,0.3459,0.3616,0.3459,0.3134
1,51.128716952594374,polynomial,0.0028282181322203588,2,10,"(24, 24)","(3, 3)",425,0.5636,0.5912,0.5636,0.5747
2,51.128716952594374,polynomial,0.0028282181322203588,2,10,"(24, 24)","(3, 3)",425,0.6073,0.6289,0.6073,0.6146
3,51.128716952594374,polynomial,0.0028282181322203588,2,10,"(24, 24)","(3, 3)",425,0.5201,0.5567,0.5201,0.5325
4,51.128716952594374,polynomial,0.0028282181322203588,2,10,"(24, 24)","(3, 3)",425,0.5697,0.5833,0.5698,0.5758
1,15.086145792035484,rbf,0.014669175363061157,,9,"(16, 16)","(2, 2)",350,0.6635,0.6907,0.6636,0.6744
2,15.086145792035484,rbf,0.014669175363061157,,9,"(16, 16)","(2, 2)",350,0.6667,0.7026,0.6668,0.6819
3,15.086145792035484,rbf,0.014669175363061157,,9,"(16, 16)","(2, 2)",350,0.609,0.6268,0.609,0.6139
4,15.086145792035484,rbf,0.014669175363061157,,9,"(16, 16)","(2, 2)",350,0.5964,0.6184,0.5964,0.6034
