fold,C,kernel,gamma,degree,num_of_balancing,Balanced Accuracy,Precision,Recall,F1 Score
1,0.0010038757142435603,rbf,9.79464558047325e-05,,250,0.4232,0.3472,0.4232,0.3627
2,0.0010038757142435603,rbf,9.79464558047325e-05,,250,0.366,0.3199,0.366,0.3182
3,0.0010038757142435603,rbf,9.79464558047325e-05,,250,0.4085,0.3821,0.4084,0.2911
4,0.0010038757142435603,rbf,9.79464558047325e-05,,250,0.4176,0.3488,0.4176,0.3266
1,37.25831682737545,linear,auto,,375,0.562,0.5748,0.5621,0.5672
2,37.25831682737545,linear,auto,,375,0.5925,0.5849,0.5925,0.585
3,37.25831682737545,linear,auto,,375,0.6711,0.6389,0.6712,0.6472
4,37.25831682737545,linear,auto,,375,0.6693,0.6507,0.6693,0.6537
1,0.06263816243502146,polynomial,0.0016392217052568908,2,400,0.6062,0.6126,0.6062,0.6077
2,0.06263816243502146,polynomial,0.0016392217052568908,2,400,0.649,0.6322,0.649,0.6385
3,0.06263816243502146,polynomial,0.0016392217052568908,2,400,0.6494,0.6257,0.6494,0.6322
4,0.06263816243502146,polynomial,0.0016392217052568908,2,400,0.6579,0.6427,0.6579,0.6453
1,1.6735069222968966,linear,auto,,400,0.5781,0.5886,0.5781,0.5829
2,1.6735069222968966,linear,auto,,400,0.6043,0.6012,0.6043,0.5993
3,1.6735069222968966,linear,auto,,400,0.6641,0.6295,0.6641,0.6381
4,1.6735069222968966,linear,auto,,400,0.6632,0.6332,0.6632,0.6438
1,0.0037936582139955206,rbf,7.823645284915602e-05,,500,0.4506,0.3488,0.4506,0.3316
2,0.0037936582139955206,rbf,7.823645284915602e-05,,500,0.3388,0.481,0.3388,0.2841
3,0.0037936582139955206,rbf,7.823645284915602e-05,,500,0.47,0.377,0.47,0.4127
4,0.0037936582139955206,rbf,7.823645284915602e-05,,500,0.4471,0.3667,0.4471,0.4012
1,0.0036270866877867814,polynomial,5.3202123210582257e-05,2,300,0.25,0.0529,0.25,0.0873
2,0.0036270866877867814,polynomial,5.3202123210582257e-05,2,300,0.25,0.0433,0.25,0.0738
3,0.0036270866877867814,polynomial,5.3202123210582257e-05,2,300,0.25,0.0529,0.25,0.0873
4,0.0036270866877867814,polynomial,5.3202123210582257e-05,2,300,0.25,0.0529,0.25,0.0873
1,0.0945585278659219,polynomial,0.004328863713961681,3,400,0.6219,0.6361,0.6219,0.6194
2,0.0945585278659219,polynomial,0.004328863713961681,3,400,0.566,0.5532,0.566,0.5572
3,0.0945585278659219,polynomial,0.004328863713961681,3,400,0.6358,0.6191,0.6358,0.6233
4,0.0945585278659219,polynomial,0.004328863713961681,3,400,0.6286,0.6009,0.6286,0.6117
1,1.1397967851275208,rbf,0.009219690823996866,,400,0.2537,0.2968,0.2537,0.0861
2,1.1397967851275208,rbf,0.009219690823996866,,400,0.2537,0.2968,0.2537,0.0861
3,1.1397967851275208,rbf,0.009219690823996866,,400,0.2537,0.2968,0.2537,0.0861
4,1.1397967851275208,rbf,0.009219690823996866,,400,0.2586,0.3581,0.2586,0.1676
1,236.53961642485896,polynomial,0.0008034452204916076,3,350,0.5595,0.5625,0.5596,0.5603
2,236.53961642485896,polynomial,0.0008034452204916076,3,350,0.5629,0.55,0.5629,0.5518
3,236.53961642485896,polynomial,0.0008034452204916076,3,350,0.7028,0.6671,0.7028,0.6705
4,236.53961642485896,polynomial,0.0008034452204916076,3,350,0.665,0.6578,0.665,0.6557
1,0.00819676705921816,rbf,0.000596701426846644,,300,0.3747,0.6762,0.3747,0.2572
2,0.00819676705921816,rbf,0.000596701426846644,,300,0.288,0.5032,0.288,0.1875
3,0.00819676705921816,rbf,0.000596701426846644,,300,0.2605,0.159,0.2604,0.1366
4,0.00819676705921816,rbf,0.000596701426846644,,300,0.2994,0.2905,0.2994,0.1989
1,0.0029729687427362084,linear,auto,,450,0.6073,0.6227,0.6074,0.6127
2,0.0029729687427362084,linear,auto,,450,0.5935,0.573,0.5935,0.5794
3,0.0029729687427362084,linear,auto,,450,0.6807,0.6549,0.6807,0.6618
4,0.0029729687427362084,linear,auto,,450,0.6761,0.6321,0.6761,0.646
1,279.08677456370657,rbf,2.717209566879533e-05,,275,0.6878,0.6776,0.6878,0.68
2,279.08677456370657,rbf,2.717209566879533e-05,,275,0.6273,0.5891,0.6274,0.6014
3,279.08677456370657,rbf,2.717209566879533e-05,,275,0.659,0.6184,0.659,0.6322
4,279.08677456370657,rbf,2.717209566879533e-05,,275,0.682,0.6307,0.682,0.6335
1,0.02026829966634466,polynomial,0.0023371777266095435,4,300,0.5621,0.5696,0.5621,0.5621
2,0.02026829966634466,polynomial,0.0023371777266095435,4,300,0.5195,0.4996,0.5195,0.5068
3,0.02026829966634466,polynomial,0.0023371777266095435,4,300,0.5741,0.5519,0.5741,0.5501
4,0.02026829966634466,polynomial,0.0023371777266095435,4,300,0.629,0.6184,0.629,0.6166
1,0.02124702859256169,rbf,1.7070318320330592e-05,,400,0.4162,0.3315,0.4162,0.365
2,0.02124702859256169,rbf,1.7070318320330592e-05,,400,0.3219,0.3046,0.3219,0.2865
3,0.02124702859256169,rbf,1.7070318320330592e-05,,400,0.3319,0.415,0.3319,0.2889
4,0.02124702859256169,rbf,1.7070318320330592e-05,,400,0.4024,0.379,0.4024,0.3786
1,0.03565300321037912,polynomial,1.7935479268448563e-05,2,275,0.3039,0.1639,0.3039,0.1762
2,0.03565300321037912,polynomial,1.7935479268448563e-05,2,275,0.25,0.0539,0.25,0.0887
3,0.03565300321037912,polynomial,1.7935479268448563e-05,2,275,0.25,0.0529,0.25,0.0873
4,0.03565300321037912,polynomial,1.7935479268448563e-05,2,275,0.25,0.0529,0.25,0.0873
1,489.97753731274383,polynomial,1.5660235878179564e-05,4,250,0.6012,0.5841,0.6012,0.5757
2,489.97753731274383,polynomial,1.5660235878179564e-05,4,250,0.5267,0.4915,0.5267,0.5043
3,489.97753731274383,polynomial,1.5660235878179564e-05,4,250,0.6551,0.6202,0.6551,0.625
