C,kernel,gamma,degree,orientation,pixels_per_cell,cell_per_block,num_of_balancing,Balanced Accuracy,Precision,Recall,F1 Score
0.0011091898611299,rbf,0.00022369859476622508,nan,10,"(16, 16)","(2, 2)",450,0.3079,0.2852,0.3079,0.2408
0.0016774655211789,polynomial,9.006816719246969e-05,2.0,7,"(24, 24)","(3, 3)",275,0.2664,0.2638,0.2665,0.1422
0.001868302942834,polynomial,0.00014084594659913703,4.0,6,"(16, 16)","(3, 3)",400,0.3214,0.2303,0.3214,0.2538
0.0026195009918239,rbf,0.0011201394046625713,nan,7,"(16, 16)","(3, 3)",325,0.2948,0.1738,0.2948,0.2111
0.0028961726816209,linear,auto,nan,6,"(24, 24)","(3, 3)",375,0.4019,0.3627,0.4019,0.3492
0.0029545624399854,rbf,0.00015969263033483935,nan,10,"(12, 12)","(3, 3)",350,0.2604,0.2224,0.2604,0.1502
0.0037313257283556,polynomial,0.004545809861636254,2.0,6,"(24, 24)","(3, 3)",375,0.2986,0.2338,0.2986,0.2116
0.0049658629276209,rbf,0.014874728297217563,nan,8,"(24, 24)","(3, 3)",400,0.299,0.2354,0.299,0.2142
0.0049872122151495,linear,auto,nan,9,"(24, 24)","(2, 2)",250,0.3603,0.3071,0.3603,0.3097
0.005521884886626,polynomial,0.0018245197855003327,3.0,8,"(24, 24)","(3, 3)",500,0.2599,0.1446,0.2598,0.1523
0.0063394719825838,polynomial,0.0034949351331138375,4.0,7,"(12, 12)","(2, 2)",425,0.2522,0.1701,0.2522,0.1546
0.0063570420399493,linear,auto,nan,9,"(12, 12)","(3, 3)",425,0.5428,0.5997,0.5428,0.5608
0.0092707542242444,polynomial,5.306744844976688e-05,4.0,10,"(16, 16)","(3, 3)",425,0.3211,0.203,0.3211,0.242
0.0103606075631417,rbf,0.01143381980048845,nan,6,"(16, 16)","(2, 2)",350,0.2568,0.1679,0.2568,0.1655
0.0159823268041981,linear,auto,nan,8,"(24, 24)","(2, 2)",425,0.4679,0.5429,0.4679,0.4849
0.0164888255802745,polynomial,0.011462759351117107,3.0,7,"(24, 24)","(2, 2)",375,0.312,0.2345,0.3119,0.2455
0.0177478351854436,rbf,0.01673997703313595,nan,9,"(24, 24)","(3, 3)",425,0.2902,0.2052,0.2902,0.2006
0.0178559822827442,polynomial,2.10795052172271e-05,2.0,8,"(12, 12)","(2, 2)",425,0.2605,0.2494,0.2605,0.1706
0.019079640417107,linear,auto,nan,8,"(24, 24)","(2, 2)",375,0.4912,0.5578,0.4912,0.5072
0.0201380804773099,polynomial,0.0006171880095057609,2.0,9,"(12, 12)","(3, 3)",425,0.2782,0.2304,0.2782,0.1912
0.0278621697985719,rbf,0.08962724955021988,nan,9,"(12, 12)","(3, 3)",425,0.25,0.0529,0.25,0.0873
0.0286138652186707,rbf,0.023734814997678415,nan,7,"(16, 16)","(3, 3)",450,0.3101,0.1941,0.3101,0.2276
0.028962261253431,linear,auto,nan,8,"(12, 12)","(2, 2)",275,0.5672,0.558,0.5672,0.5584
0.0303589622846975,rbf,0.018147818370791602,nan,7,"(16, 16)","(3, 3)",300,0.2751,0.1582,0.2751,0.19
0.0316094783707852,polynomial,0.006027973448598274,3.0,10,"(16, 16)","(3, 3)",250,0.255,0.2035,0.255,0.0959
0.0324376601859958,linear,auto,nan,10,"(16, 16)","(2, 2)",500,0.5709,0.6185,0.5709,0.5861
0.0324940674287682,polynomial,0.002280208165755645,3.0,9,"(12, 12)","(2, 2)",275,0.2549,0.2247,0.2549,0.1446
0.0384153656980962,polynomial,0.0002603833936675068,4.0,9,"(16, 16)","(2, 2)",250,0.255,0.1787,0.255,0.1578
0.0462793963834151,linear,auto,nan,9,"(24, 24)","(2, 2)",400,0.5262,0.5678,0.5262,0.5401
0.0497025292459188,rbf,0.009969184767660353,nan,6,"(16, 16)","(2, 2)",325,0.2785,0.2195,0.2785,0.2023
0.0554940809321264,polynomial,0.0004453369467623812,3.0,6,"(16, 16)","(3, 3)",350,0.3094,0.185,0.3094,0.2282
0.069921897832526,linear,auto,nan,7,"(12, 12)","(2, 2)",300,0.5614,0.5505,0.5614,0.5511
0.0740195323148591,linear,auto,nan,8,"(24, 24)","(2, 2)",300,0.5528,0.5508,0.5528,0.5486
0.0749070139699392,rbf,0.0017510823065215674,nan,7,"(12, 12)","(2, 2)",300,0.2712,0.2231,0.2712,0.1931
0.0864026621266497,polynomial,0.0008689270909718846,2.0,9,"(16, 16)","(3, 3)",325,0.286,0.1674,0.286,0.1984
0.1756906309103006,rbf,0.014424725129188014,nan,8,"(12, 12)","(3, 3)",500,0.439,0.382,0.439,0.3522
0.2020683229314021,polynomial,0.003336054574613756,2.0,9,"(16, 16)","(3, 3)",325,0.286,0.1674,0.286,0.1984
0.2101027641450894,rbf,2.059357683349601e-05,nan,8,"(12, 12)","(2, 2)",250,0.2579,0.1376,0.2579,0.1098
0.3307296295058653,polynomial,7.372966415838568e-05,2.0,8,"(12, 12)","(3, 3)",400,0.2834,0.2299,0.2834,0.2046
0.3342359194898791,linear,auto,nan,8,"(24, 24)","(2, 2)",300,0.538,0.5226,0.538,0.5238
0.3776116409819959,rbf,0.0001036307585219435,nan,9,"(16, 16)","(3, 3)",475,0.2768,0.1693,0.2768,0.1824
0.4511279317638512,linear,auto,nan,10,"(12, 12)","(3, 3)",250,0.5832,0.5616,0.5832,0.5613
0.4831580398222663,linear,auto,nan,8,"(12, 12)","(3, 3)",325,0.5661,0.5465,0.566,0.5504
0.7036706168293685,linear,auto,nan,10,"(16, 16)","(3, 3)",425,0.5954,0.59,0.5954,0.5879
0.7653227767175849,polynomial,0.04537846072048372,3.0,10,"(12, 12)","(2, 2)",250,0.6154,0.6052,0.6154,0.6069
0.8046930013449941,linear,auto,nan,8,"(16, 16)","(2, 2)",450,0.5532,0.5499,0.5532,0.5477
0.8249109664948209,polynomial,0.012171304534310973,3.0,7,"(24, 24)","(3, 3)",500,0.504,0.5226,0.504,0.5104
0.947234104061108,linear,auto,nan,8,"(16, 16)","(2, 2)",250,0.5494,0.5262,0.5495,0.5266
0.9682349553240612,linear,auto,nan,9,"(16, 16)","(3, 3)",450,0.57,0.5709,0.5701,0.5651
1.0918805810967878,rbf,9.258887750680873e-05,nan,9,"(16, 16)","(2, 2)",250,0.261,0.2037,0.261,0.1402
1.1869636028162602,polynomial,5.8659085308817046e-05,3.0,10,"(24, 24)","(3, 3)",450,0.2661,0.2137,0.2661,0.1623
1.3300364548990955,polynomial,0.00719606046443954,2.0,8,"(16, 16)","(2, 2)",300,0.5623,0.604,0.5623,0.5743
