C,kernel,gamma,degree,num_of_balancing,Balanced Accuracy,Precision,Recall,F1 Score
0.0010038757142435,rbf,9.79464558047325e-05,nan,250,0.4038,0.3495,0.4038,0.3246
0.0010433434832536,polynomial,0.0008639209001561442,2.0,350,0.5672,0.5823,0.5672,0.5548
0.0014788760836276,linear,auto,nan,400,0.6377,0.6191,0.6377,0.6228
0.001492880395953,polynomial,0.008608080821080544,2.0,350,0.651,0.6337,0.651,0.6373
0.0015526348683777,linear,auto,nan,475,0.6724,0.66,0.6724,0.6618
0.0016493599625112,rbf,0.001085814651456406,nan,275,0.2562,0.2936,0.2562,0.0862
0.0018488446494857,linear,auto,nan,475,0.669,0.6539,0.6691,0.6562
0.0020143529032626,polynomial,0.0070554951489358786,3.0,400,0.6131,0.6023,0.6131,0.6029
0.0021554965060853,linear,auto,nan,325,0.6442,0.6208,0.6442,0.6242
0.002509128466713,linear,auto,nan,375,0.6365,0.6209,0.6366,0.6232
0.0029729687427362,linear,auto,nan,450,0.6394,0.6207,0.6394,0.625
0.0030593966758997,linear,auto,nan,500,0.653,0.6335,0.653,0.6368
0.0036270866877867,polynomial,5.3202123210582257e-05,2.0,300,0.25,0.0505,0.25,0.0839
0.0037936582139955,rbf,7.823645284915602e-05,nan,500,0.4266,0.3934,0.4266,0.3574
0.0044114801313346,rbf,0.010304532663843081,nan,400,0.25,0.0481,0.25,0.0806
0.0059552757712511,polynomial,0.014615006414740854,3.0,300,0.5916,0.573,0.5917,0.5764
0.006853250555212,linear,auto,nan,475,0.6637,0.6559,0.6637,0.6536
0.0081967670592181,rbf,0.000596701426846644,nan,300,0.3056,0.4072,0.3056,0.195
0.0090984017462593,polynomial,0.03689686627339932,4.0,350,0.5815,0.5817,0.5816,0.5741
0.0102782470162184,rbf,0.0017785934199312156,nan,375,0.2519,0.1059,0.2519,0.0776
0.011449585621666,linear,auto,nan,500,0.6456,0.6316,0.6456,0.633
0.0131493798291977,rbf,0.0049228617570614515,nan,375,0.25,0.0457,0.25,0.0772
0.0141860367939304,rbf,0.030079006888038645,nan,425,0.25,0.0481,0.25,0.0806
0.0164540736285765,polynomial,0.03234203712736464,4.0,475,0.5942,0.5911,0.5943,0.587
0.0202682996663446,polynomial,0.0023371777266095435,4.0,300,0.5712,0.5599,0.5712,0.5589
0.0212470285925616,rbf,1.7070318320330592e-05,nan,400,0.3681,0.3575,0.3681,0.3298
0.0231689717429587,linear,auto,nan,500,0.6456,0.6316,0.6456,0.633
0.0236825071604161,rbf,1.3874235664029293e-05,nan,250,0.3808,0.3644,0.3808,0.3252
0.0256648527906061,polynomial,0.08543275429381968,3.0,350,0.6225,0.6094,0.6226,0.6096
